cmtid,author_username,model_name,product_name,rating_star,comment,submit_time
45101734942,selvia.banjarsari,Gelas bir plastik,Cangkir gelas minum plastik gmc gelas bir gagang grosir,5,,2025-05-29 11:05:26
45101734928,selvia.banjarsari,CORONG_9,Carat air ukuran 9 plastik corong minyak kecil serbaguna mini bahan plastik,5,,2025-05-29 11:05:26
45100857583,y049yxz5xg,"Piring seng lurik,22cm Besar",Piring seng enamel lurik ukuran 22 cm besar tebal merk TB,5,,2025-05-29 10:59:56
45100380476,anandaynf123,"Keranjang surat sp,Tidak milih warna",Keranjang surat segi panjang super - Tempat alat tulis kantor grosir,5,,2025-05-29 10:53:53
45100380468,anandaynf123,T.S Enci coklat,Tempat sendok alat tulis serbaguna enci capucino plastik grosir,5,,2025-05-29 10:53:53
45100302568,afika160496,Eskan Ais sakura,Eskan plastik AIS sakura dx gambar ayam warna tebal,5,,2025-05-29 10:53:18
45100261606,afika160496,Eskan Ais sakura,Eskan plastik AIS sakura dx gambar ayam warna tebal,5,,2025-05-29 10:52:51
45100156535,afika160496,Eskan Ais sakura,Eskan plastik AIS sakura dx gambar ayam warna tebal,5,,2025-05-29 10:51:59
45099729267,rintizamalia,Payung anak,Payung anak karkter murah diameter 64 cm - Payung anak grosir,5,,2025-05-29 10:48:26
45099652700,imas_arfi,"Panci yukihira,Isi 1 pcs",Panci susu yukihira maspion 18 cm gagang kayu berkualitas,5,,2025-05-29 10:47:45
45098462706,wttyt4l89a,"Keranjang surat sp,Tidak milih warna",Keranjang surat segi panjang super - Tempat alat tulis kantor grosir,5,,2025-05-29 10:36:33
45098462705,wttyt4l89a,12bj solet kecil,(12pcs) Solet pelet kue plastik Nice spatula murah serbaguna grosir,5,,2025-05-29 10:36:33
45098036255,rayazka02,Gelas Stand Coklat,Gelas stand dudukan gelas oval capucino isi 6 gelas plastik,5,,2025-05-29 10:32:38
45097697045,oomkom01,T.S. MICYKO,Tempat sendok alat tulis omicko plastik grosir,5,,2025-05-29 10:30:02
45097697032,oomkom01,10bks korek pelangi,(10bks) korek batang kayu jadul gambar grosir,5,,2025-05-29 10:30:02
45097697024,oomkom01,Sutil stainles gajah,Sutil stainless terusan tanggung cap gajah - sutil buntu murah,5,,2025-05-29 10:30:02
45097697017,oomkom01,Kertas Kado,Kertas kado warna warni ukuran 62 cm x 50 cm - grosir kertas kado berkualitas,5,,2025-05-29 10:30:02
45097697010,oomkom01,12bj_ttp gelas biasa,(12 pcs) Tutup gelas biasa bahan plastik murah grosir berkualitas,5,,2025-05-29 10:30:02
45097697000,oomkom01,Pengaman,Pengaman regulator - pengunci penahan regulator tabung gas 3 kg dan 12 kg,5,,2025-05-29 10:30:02
45097442934,novianayaya,Hngr benmore coklat,Hanger anak plastik benmore 1 pak isi 6pcs grosir,5,,2025-05-29 10:27:46
45096736850,lyllarinni,1pk lilin panda,(1pak) lilin cakra besar panjang 15 cm per pak 8 bj - Lilin putih grosir,4,,2025-05-29 10:21:54
45096500151,d*****h,Mangkok sambal tutup,Mangko sambal bakso tutup panda star plus sendok bulat oval plastik,1,Desain:sederhana. Warna:tidak sesuai pesenan. Pesan oren dikirimnya ijo. Ketebalan:cukup. Kalo requaest warna katanya suruh chat seller giliran request warna oren malah dikirmnya ijo,2025-05-29 10:19:42
45095912179,s3l1a,Kitchen set monaco,Kitchen set - Rak bumbu susun 2 monaco tempel 7 toples tampa sendok,5,Desain:menarik. Kondisi:baik. Kualitas Bahan:bagus,2025-05-29 10:14:35
45095895389,maghfirohfanani,50bj korek rokokk,(50bj) korek api magnet SNI besar gambar rokok grosir termurah,5,,2025-05-29 10:14:26
45095784653,danisranasaputradanisran,1pak lilin cakra,(1pak) lilin cakra besar panjang 15 cm per pak 8 bj - Lilin putih grosir,5,,2025-05-29 10:13:35
45095596822,baiqema170,1pak cotenbud bunga,(12pak) Cotten bud - cotton bud motif bunga halus dan lembut grosir,5,,2025-05-29 10:12:01
45095224459,farahbca,Tempat sendok Besar,Kotak sabun sendok capucino besar plastik plus tutup,5,,2025-05-29 10:08:50
45095224445,farahbca,TS capucino kecil,kotak sabun sendok segi capucino ukuran kecil panjang,5,,2025-05-29 10:08:50
45095224431,farahbca,Pasrah besar 4in1,Pasrah 4 in 1 besar parutan serbaguna plastik,5,,2025-05-29 10:08:50
45094546892,gunawanngeni,Rak segi Flower,Rak Mini segi susun 3 Flower - Rak bumbu kosmetik serbaguna,5,,2025-05-29 10:02:28
45094266695,nadifsyarif,"Capitan,Besar",Pencapit capitan kue minyak stainless steel murah termurah,5,,2025-05-29 10:00:03
45094106754,cahyaacaeciliairawan,"Keranjang KRP-338,Isi 3 pcs",Keranjang pasar serbaguna terano plastik + pegangan tebal - keranjang belanjaan grosir,5,,2025-05-29 09:58:47
45093871988,085848762704.,"Eskan 4,1 SEGI,Random","Eskan ceret segi 4,1 liter wapolin jumbo plastik",5,,2025-05-29 09:56:42
45093542661,ayierusda,Tempat sendok moly,Tempat sendok alat tulis gandeng moly coklat grosir,4,,2025-05-29 09:53:54
45093542651,ayierusda,Mangkok sambal tutup,Mangko sambal bakso tutup panda star plus sendok bulat oval plastik,4,,2025-05-29 09:53:54
45093542642,ayierusda,12bj ctakn Melati,(12bj) cetakan puding jelly bunga melati kukus plastik warna dx rainbow,4,,2025-05-29 09:53:54
45093542633,ayierusda,1bj ctkan Melati,(1bj) cetakan bulu puding jelly Bunga melati plastik rainbow,4,,2025-05-29 09:53:54
45093542624,ayierusda,1bj ctkn Mawar bsr,"(1bj) cetakan puding jelly bentuk mawar 6,5 cm plastik warna dx rainbow",4,,2025-05-29 09:53:54
45093542617,ayierusda,1BJ Putu ayu segi,(1pcs) cetakan putu ayu kotak segi plastik Warna cerah DX gread A berkualitas,4,,2025-05-29 09:53:54
45093542610,ayierusda,1bj_Rose,(1 pcs) Tutup gelas plastik mahkota kualitas bagus warna warni murah grosir,4,,2025-05-29 09:53:54
45093542600,ayierusda,1BJ Ctkn LOVE,(1pcs) cetakan roti kukus bentuk love rege plastik dx warna cerah,4,,2025-05-29 09:53:54
45093393507,zafi_23,1pak lilin cakra,(1pak) lilin cakra besar panjang 15 cm per pak 8 bj - Lilin putih grosir,5,,2025-05-29 09:52:40
45093112926,nafitazahra,"Piring seng lurik,22cm Besar",Piring seng enamel lurik ukuran 22 cm besar tebal merk TB,5,Ketebalan:tebal. Desain:cantik. Kualitas:baik,2025-05-29 09:50:38
